FID,ID,Hospital_Name,Address,City,State_Abbreviation,ZIP_Code,Contact_Number,Hospital_Type,Population,County,County_Fips,Country,Latitude,Longitude,Naics_Code,Naics_Desc,Source,Website,State_ID,Alternative_Hospital_Name,State_Fips,Owner,Beds,Trauma,Helipad,Date_Created
6117,700641,Csf - Utuado,C/Isaac Gonzalez Martinez,Arenas,PR,641,(787) 894-2875,General Acute Care Hospital,,Arecibo,72013,US,18.259661,-66.70652,622210,General Medical And Surgical Hospitals,http://www.gis.pr.gov/,,254,,72,,,,,9/6/2013
6301,3800739,First Hosp Panamericano - Cidra,Pr-787 Km 1.5,Yauco,PR,739,(787) 739-5555,General Acute Care Hospital,,Caguas,72025,US,18.176018,-66.135765,622210,General Medical And Surgical Hospitals,http://www.gis.pr.gov/,,69,,72,,,,,9/6/2013
6149,1600681,Hosp San Antonio Inc,Calle Post 18 Norte,Mayaguez,PR,681,(787) 834-0050,General Acute Care Hospital,,Mayaguez,72097,US,18.203242,-67.141023,622210,General Medical And Surgical Hospitals,http://www.gis.pr.gov/,,141,,72,,,,,9/6/2013
6167,2000785,Clinica Santa Rosa,Veterans Avenue,Guayama,PR,785,(787) 864-0101,General Acute Care Hospital,86,Ponce,72113,US,17.981751,-66.104453,622210,General Medical And Surgical Hospitals,http://www.gis.pr.gov/,,91,,72,Non-profit,86,,,9/6/2013
6315,4200984,Hosp Upr Carolina,Pr-3 Km 8.1 Ave 65 Inf,Sabana Abajo,PR,984,(787) 757-1800,General Acute Care Hospital,,San Juan,72127,US,18.388472,-65.971899,622210,General Medical And Surgical Hospitals,http://www.gis.pr.gov/,,57,,72,,,,,9/6/2013
6307,4000791,Hosp Dr Dominguez Inc,Ave Font Martelo 300,Humacao Pueblo,PR,791,(787) 852-0505,General Acute Care Hospital,,Caguas,72025,US,18.153753,-65.830378,622210,General Medical And Surgical Hospitals,http://www.gis.pr.gov/,,104,,72,,,,,9/6/2013
6237,2100785,Aha Id 6,Avenue Pedro Albesus,Guayama Pueblo,PR,785,(787) 864-4300,General Acute Care Hospital,115,Ponce,72113,US,17.973551,-66.114454,622210,General Medical And Surgical Hospitals,http://www.gis.pr.gov/,,93,,72,Non-profit,115,,,9/6/2013
6248,2500731,Hosp Psiquiatria Forense De Ponce,Pr-14 Km 4.2,Machuelo Arriba,PR,731,(787) 844-0101,General Acute Care Hospital,,Ponce,72113,US,18.034394,-66.594542,622210,General Medical And Surgical Hospitals,http://www.gis.pr.gov/,,166,,72,,,,,9/6/2013
1543,21031503,Satilla Park Hospital,2500 Satilla Parkway,Waycross,GA,31503,Not Available,Psychiatric Hospital,53,Ware,13299,US,31.245226,-82.392016,622210,General Medical And Surgical Hospitals,Georgia Department of Public Health,,213,,13,,53,,,4/1/2013
6327,4500939,Hosp Del Maestro,550 Sergio Cuevas,San Juan,PR,939,(787) 758-8383,General Acute Care Hospital,250,San Juan,72127,US,18.411822,-66.068722,622210,General Medical And Surgical Hospitals,http://www.gis.pr.gov/,,184,,72,Proprietary,250,,,9/6/2013
